customer_city,Revenue,Orders,Customers,Average_Order_Value
paulo frontin,849.4,5,4,169.88
vere,848.97,3,3,282.99
miguel calmon,848.9299999999998,5,5,169.78599999999997
morretes,848.92,4,4,212.23
glicerio,847.1300000000001,4,4,211.78250000000003
ribeirao bonito,846.12,7,7,120.87428571428572
itirucu,845.37,3,3,281.79
sao joao d'alianca,844.86,3,3,281.62
alfredo wagner,844.67,2,2,422.335
igarata,843.87,5,5,168.774
sandolandia,841.28,1,1,841.28
carbonita,841.12,4,3,210.28
rio do pires,840.51,4,3,210.1275
jucurutu,839.8299999999999,4,4,209.95749999999998
japira,839.8199999999999,3,3,279.94
cananeia,838.89,8,8,104.86125
caldas,835.92,5,5,167.184
pains,835.57,3,2,278.52333333333337
catanduvas,834.99,6,6,139.165
cabreuva,834.1199999999999,6,6,139.01999999999998
firminopolis,832.5,7,5,118.92857142857143
mucurici,831.32,1,1,831.32
pirapetinga,831.03,8,8,103.87875
itueta,830.35,2,2,415.175
arari,828.79,2,2,414.395
piripiri,828.5600000000001,7,7,118.36571428571429
mata grande,827.6299999999999,2,2,413.81499999999994
sao felipe,827.01,2,2,413.505
madre de deus,826.74,7,7,118.10571428571428
colonia leopoldina,826.27,2,2,413.135
sao jose do divino,826.1700000000001,2,2,413.08500000000004
maristela,824.92,4,4,206.23
avelar,824.24,4,4,206.06
lindoia,824.02,9,9,91.55777777777777
sao jose do norte,822.34,7,7,117.47714285714287
sertao,822.25,3,3,274.0833333333333
bady bassitt,821.28,7,7,117.32571428571428
alto taquari,821.17,3,3,273.7233333333333
cunha pora,820.95,5,4,164.19
miranorte,820.68,2,2,410.34
jatoba,817.63,5,4,163.526
coribe,816.78,8,6,102.0975
estacao,815.22,5,5,163.044
sao paulo das missoes,815.16,2,2,407.58
caninde,814.2,6,6,135.70000000000002
sao miguel do guapore,814.15,4,3,203.5375
joao lisboa,810.7099999999999,5,4,162.142
anicuns,809.19,8,8,101.14875
jardim,808.4100000000001,5,5,161.68200000000002
iati,807.24,3,3,269.08
caetanopolis,805.62,8,8,100.7025
alta floresta d'oeste,805.5,3,3,268.5
timbauba,804.45,7,7,114.92142857142858
oeiras,803.91,6,6,133.98499999999999
camocim de sao felix,803.5799999999999,2,2,401.78999999999996
nova mamore,803.1600000000001,2,2,401.58000000000004
sabino,802.87,3,3,267.62333333333333
maracacume,802.4200000000001,4,4,200.60500000000002
senador cortes,801.32,1,1,801.32
cambara do sul,801.28,1,1,801.28
alto santo,801.01,3,3,267.00333333333333
candelaria,799.44,4,4,199.86
jaiba,799.04,6,5,133.17333333333332
andorinha,797.61,5,5,159.522
abelardo luz,797.5799999999999,6,6,132.92999999999998
medeiros neto,797.29,7,6,113.89857142857143
santa maria de itabira,794.4200000000001,4,4,198.60500000000002
rio pardo de minas,794.01,5,5,158.802
peabiru,793.96,5,5,158.792
cajuru,793.9,9,9,88.21111111111111
agua branca,793.1999999999999,5,5,158.64
santa cruz de monte castelo,793.0500000000001,4,4,198.26250000000002
fernando prestes,791.9399999999999,6,6,131.98999999999998
sao jorge do ivai,791.9200000000001,1,1,791.9200000000001
jaguapita,790.68,1,1,790.68
divisa nova,788.71,1,1,788.71
catigua,788.52,6,6,131.42
tupancireta,787.33,4,3,196.8325
guabiruba,786.81,5,5,157.362
carapebus,786.52,5,5,157.304
solonopole,785.74,2,2,392.87
engenheiro paulo de frontin,785.69,6,6,130.94833333333335
sao romao,785.3299999999999,5,5,157.06599999999997
corbelia,785.22,3,3,261.74
catuipe,784.5,4,4,196.125
sao joao do itaperiu,782.74,1,1,782.74
ribeira do pombal,782.36,8,8,97.795
bom jesus do norte,781.8499999999999,4,4,195.46249999999998
dumont,779.64,4,4,194.91
portalegre,779.23,2,2,389.615
tocantins,778.49,6,6,129.74833333333333
maioba,778.0699999999999,3,3,259.3566666666666
medina,776.88,6,6,129.48
sooretama,774.41,5,5,154.882
campo ere,774.07,7,7,110.58142857142857
ubata,773.61,2,2,386.805
terra boa,773.42,4,4,193.355
itaipava,773.06,4,4,193.265
rio maria,772.45,3,1,257.48333333333335
matoes do norte,772.28,2,2,386.14
esperantinopolis,771.4100000000001,3,3,257.1366666666667
belem do sao francisco,771.02,2,2,385.51
valparaiso,770.1899999999999,8,8,96.27374999999999
terra rica,769.63,7,7,109.94714285714285
cidreira,769.02,5,5,153.804
barro,769.02,4,4,192.255
paracuru,767.91,5,5,153.582
carius,767.57,3,3,255.85666666666668
santo cristo,766.18,7,7,109.4542857142857
jauru,762.86,5,5,152.572
quatis,762.55,5,5,152.51
colina,762.25,9,8,84.69444444444444
guaiuba,762.05,2,1,381.025
garrafao do norte,762.0,3,3,254.0
santa isabel do rio preto,761.82,1,1,761.82
